state,statecode,statenum,sector,secnum,welfare_effect,emp_effect,emp_effect_tot,emp_regcontri_manuf,emp_regcontri_nonmanuf,emp_effect_sec,emp_regcontri,emp_seccontri,emp_regcontri_manuf_scale,emp_regcontri_nonmanuf_scale,emp_regcontri_scale,welfare_effect_indicator,emp_effect_indicator
New York,NY,32,Education,20,.21551999,.36256999,.02926283,2.0449605,8.1086769,.035525277,10.205972,1.0046748,3,5,6,1,1
New York,NY,32,Healthcare,21,.21297,.68101001,.02926283,2.0449605,8.1086769,.077494033,8.7879028,1.8870665,3,5,5,1,1
New York,NY,32,Hospitality,22,.20537999,.15114,.02926283,2.0449605,8.1086769,.026819488,5.6354547,.41880623,3,5,5,1,1
New York,NY,32,"Entert., Prof.",23,.20488,.63494998,.02926283,2.0449605,8.1086769,.085739359,7.4055834,1.7594349,3,5,5,1,1
North Carolina,NC,33,All industries,0,.15696,-.8548606,-.0085486062,7.4598727,2.72229,,,,5,3,6,1,0
North Carolina,NC,33,Non-employment,1,.14602,,,7.4598727,2.72229,,,,5,3,6,1,1
North Carolina,NC,33,"Food, Bev., Tob.",2,.16068999,-.037590999,-.026921492,7.4598727,2.72229,-.0064767739,5.8039699,.10416364,5,3,5,1,0
North Carolina,NC,33,Textiles,3,.11181,-.50709003,-.026921492,7.4598727,2.72229,-.043283883,11.715447,1.4051328,5,3,6,1,0
North Carolina,NC,33,"Wood, Paper",4,.14557,-.088138998,-.026921492,7.4598727,2.72229,-.020166513,4.3705621,.24423078,5,3,4,1,0
North Carolina,NC,33,"Petroleum, Coal",5,-.015641,-.000093634,-.026921492,7.4598727,2.72229,-.0024654288,.037978791,.0002594573,5,3,1,0,0
North Carolina,NC,33,Chemicals,6,.13153,-.05418,-.026921492,7.4598727,2.72229,-.018591736,2.9141982,.15013131,5,3,3,1,0
North Carolina,NC,33,"Plastics, Rubber",7,.1347,-.088817,-.026921492,7.4598727,2.72229,-.023946352,3.7089989,.2461095,5,3,4,1,0
North Carolina,NC,33,Nonmetallic,8,.13788,-.027372999,-.026921492,7.4598727,2.72229,-.0084945727,3.2224104,.075849839,5,3,4,1,0
North Carolina,NC,33,Metal,9,.12853,-.20582999,-.026921492,7.4598727,2.72229,-.039620578,5.1950274,.57034934,5,3,5,1,0
North Carolina,NC,33,Machinery,10,.10838,-.059494998,-.026921492,7.4598727,2.72229,-.038382474,1.5500563,.16485903,5,3,3,1,0
North Carolina,NC,33,"Computer, Elect.",11,.055091001,-.59198999,-.026921492,7.4598727,2.72229,-.083799809,7.0643358,1.6403883,5,3,5,1,0
North Carolina,NC,33,Transport Mfg.,12,.15053999,-.02344,-.026921492,7.4598727,2.72229,-.028143838,.83286434,.064951606,5,3,2,1,0
North Carolina,NC,33,Furniture Mfg.,13,.13662,-.15325001,-.026921492,7.4598727,2.72229,-.047512107,3.2254939,.42465165,5,3,4,1,0
North Carolina,NC,33,Wholesale and Retail,14,.16407999,.15418001,.0098242797,7.4598727,2.72229,.02933852,5.2552075,.42723,5,3,5,1,1
North Carolina,NC,33,Construction,15,.16452,.11581,.0098242797,7.4598727,2.72229,.032239377,3.5921907,.32090741,5,3,4,1,1
North Carolina,NC,33,"Transport Serv.,",16,.1804,.16747999,.0098242797,7.4598727,2.72229,.034763623,4.8176794,.46408403,5,3,4,1,1
North Carolina,NC,33,Information,17,.16452,.027898001,.0098242797,7.4598727,2.72229,.011918599,2.3407114,.077304855,5,3,3,1,1
North Carolina,NC,33,Finance,18,.17647,.018761,.0098242797,7.4598727,2.72229,.0097977379,1.9148297,.051986389,5,3,3,1,1
North Carolina,NC,33,Real Estate,19,.17741001,.069319002,.0098242797,7.4598727,2.72229,.017246898,4.0192156,.1920817,5,3,4,1,1
North Carolina,NC,33,Education,20,.18092,.094583005,.0098242797,7.4598727,2.72229,.035525277,2.6624141,.26208779,5,3,3,1,1
North Carolina,NC,33,Healthcare,21,.18203001,.19287001,.0098242797,7.4598727,2.72229,.077494033,2.4888368,.53443927,5,3,3,1,1
North Carolina,NC,33,Hospitality,22,.17344999,.031927001,.0098242797,7.4598727,2.72229,.026819488,1.1904404,.08846914,5,3,2,1,1
North Carolina,NC,33,"Entert., Prof.",23,.17049,.10959999,.0098242797,7.4598727,2.72229,.085739359,1.2782927,.30369961,5,3,2,1,1
North Dakota,ND,34,All industries,0,.20093,.065454692,.00065454689,.0089965593,.37174416,,,,1,1,6,1,1
North Dakota,ND,34,Non-employment,1,.18718,,,.0089965593,.37174416,,,,1,1,6,1,1
North Dakota,ND,34,"Food, Bev., Tob.",2,.15857001,-.00024672999,-.000032467149,.0089965593,.37174416,-.0064767739,.038094584,.00068368216,1,1,1,1,0
North Dakota,ND,34,Textiles,3,-.26934001,-.0038958997,-.000032467149,.0089965593,.37174416,-.043283883,.090008095,.010795433,1,1,1,0,0
North Dakota,ND,34,"Wood, Paper",4,.25301999,-.002779,-.000032467149,.0089965593,.37174416,-.020166513,.13780271,.0077005336,1,1,1,1,0
North Dakota,ND,34,"Petroleum, Coal",5,.32912001,.00033524999,-.000032467149,.0089965593,.37174416,-.0024654288,-.1359804,-.00092896872,1,1,1,1,1
North Dakota,ND,34,Chemicals,6,.044888001,-.000023314,-.000032467149,.0089965593,.37174416,-.018591736,.001253998,.000064602464,1,1,1,1,0
North Dakota,ND,34,"Plastics, Rubber",7,.057181999,-.00079165003,-.000032467149,.0089965593,.37174416,-.023946352,.033059314,.0021936407,1,1,1,1,0
North Dakota,ND,34,Nonmetallic,8,.134,-.0016872,-.000032467149,.0089965593,.37174416,-.0084945727,.19862093,.0046751853,1,1,1,1,0
North Dakota,ND,34,Metal,9,.13349999,-.00087166001,-.000032467149,.0089965593,.37174416,-.039620578,.022000184,.0024153462,1,1,1,1,0
North Dakota,ND,34,Machinery,10,.016652999,-.022948001,-.000032467149,.0089965593,.37174416,-.038382474,.59787703,.063588291,1,1,2,1,0
North Dakota,ND,34,"Computer, Elect.",11,-.23146001,-.027350999,-.000032467149,.0089965593,.37174416,-.083799809,.32638499,.075788878,1,1,1,0,0
North Dakota,ND,34,Transport Mfg.,12,.19475999,-.0017692,-.000032467149,.0089965593,.37174416,-.028143838,.062862784,.0049024057,1,1,1,1,0
North Dakota,ND,34,Furniture Mfg.,13,.12043,-.0066729998,-.000032467149,.0089965593,.37174416,-.047512107,.14044841,.018490702,1,1,1,1,0
North Dakota,ND,34,Wholesale and Retail,14,.20548999,.027839001,.0013415611,.0089965593,.37174416,.02933852,.94888908,.077141367,1,1,2,1,1
North Dakota,ND,34,Construction,15,.19682001,.0087417997,.0013415611,.0089965593,.37174416,.032239377,.27115285,.024223369,1,1,1,1,1
North Dakota,ND,34,"Transport Serv.,",16,.20703,.012379999,.0013415611,.0089965593,.37174416,.034763623,.35611936,.034304753,1,1,1,1,1
North Dakota,ND,34,Information,17,.20370001,.0016268,.0013415611,.0089965593,.37174416,.011918599,.13649257,.0045078336,1,1,1,1,1
North Dakota,ND,34,Finance,18,.22812,.0043409001,.0013415611,.0089965593,.37174416,.0097977379,.44305125,.012028555,1,1,1,1,1
North Dakota,ND,34,Real Estate,19,.28683999,.0025036999,.0013415611,.0089965593,.37174416,.017246898,.14516813,.0069377073,1,1,1,1,1
North Dakota,ND,34,Education,20,.22536001,.01498,.0013415611,.0089965593,.37174416,.035525277,.4216716,.041509312,1,1,1,1,1
North Dakota,ND,34,Healthcare,21,.23228,.032857001,.0013415611,.0089965593,.37174416,.077494033,.42399397,.091046154,1,1,1,1,1
North Dakota,ND,34,Hospitality,22,.2053,.0051289001,.0013415611,.0089965593,.37174416,.026819488,.19123781,.014212089,1,1,1,1,1
North Dakota,ND,34,"Entert., Prof.",23,.21421,.023758,.0013415611,.0089965593,.37174416,.085739359,.27709562,.065832987,1,1,1,1,1
Ohio,OH,35,All industries,0,.14557,-1.1634552,-.011634553,9.0033131,2.5555153,,,,5,3,6,1,0
Ohio,OH,35,Non-employment,1,.13894001,,,9.0033131,2.5555153,,,,5,3,6,1,1
Ohio,OH,35,"Food, Bev., Tob.",2,.15045001,-.050816998,-.032491524,9.0033131,2.5555153,-.0064767739,7.846036,.14081253,5,3,5,1,0
Ohio,OH,35,Textiles,3,.077555001,-.21414,-.032491524,9.0033131,2.5555153,-.043283883,4.9473381,.59337616,5,3,4,1,0
Ohio,OH,35,"Wood, Paper",4,.13309,-.12191,-.032491524,9.0033131,2.5555153,-.020166513,6.0451698,.33780929,5,3,5,1,0
Ohio,OH,35,"Petroleum, Coal",5,.06944,.0016268999,-.032491524,9.0033131,2.5555153,-.0024654288,-.65988517,-.0045080958,5,3,1,1,1
Ohio,OH,35,Chemicals,6,.099765003,-.13244,-.032491524,9.0033131,2.5555153,-.018591736,7.1235952,.36698765,5,3,5,1,0
Ohio,OH,35,"Plastics, Rubber",7,.10214,-.10873,-.032491524,9.0033131,2.5555153,-.023946352,4.5405664,.30128789,5,3,4,1,0
Ohio,OH,35,Nonmetallic,8,.12758,-.032717001,-.032491524,9.0033131,2.5555153,-.0084945727,3.8515182,.090657927,5,3,4,1,0
Ohio,OH,35,Metal,9,.11191,-.25299999,-.032491524,9.0033131,2.5555153,-.039620578,6.3855705,.70105612,5,3,5,1,0
Ohio,OH,35,Machinery,10,.11211,-.32749,-.032491524,9.0033131,2.5555153,-.038382474,8.532279,.90746593,5,3,5,1,0
Ohio,OH,35,"Computer, Elect.",11,.039317999,-.39746001,-.032491524,9.0033131,2.5555153,-.083799809,4.7429705,1.101351,5,3,4,1,0
Ohio,OH,35,Transport Mfg.,12,.12963,-.12041,-.032491524,9.0033131,2.5555153,-.028143838,4.2783785,.33365285,5,3,4,1,0
Ohio,OH,35,Furniture Mfg.,13,.12049,-.32821,-.032491524,9.0033131,2.5555153,-.047512107,6.9079237,.90946102,5,3,5,1,0
Ohio,OH,35,Wholesale and Retail,14,.15606,.17026,.0092224181,9.0033131,2.5555153,.02933852,5.8032918,.47178736,5,3,5,1,1
Ohio,OH,35,Construction,15,.15155999,.040537,.0092224181,9.0033131,2.5555153,.032239377,1.2573754,.11232729,5,3,2,1,1
Ohio,OH,35,"Transport Serv.,",16,.16493,.12538999,.0092224181,9.0033131,2.5555153,.034763623,3.606931,.34745339,5,3,4,1,1
Ohio,OH,35,Information,17,.1441,.012465,.0092224181,9.0033131,2.5555153,.011918599,1.0458444,.034540288,5,3,2,1,1
Ohio,OH,35,Finance,18,.15973,.0080378,.0092224181,9.0033131,2.5555153,.0097977379,.820373,.022272598,5,3,2,1,1
Ohio,OH,35,Real Estate,19,.16432001,.069982998,.0092224181,9.0033131,2.5555153,.017246898,4.0577154,.19392163,5,3,4,1,1
Ohio,OH,35,Education,20,.1654,.10741001,.0092224181,9.0033131,2.5555153,.035525277,3.0234811,.29763117,5,3,4,1,1
Ohio,OH,35,Healthcare,21,.16817001,.24613,.0092224181,9.0033131,2.5555153,.077494033,3.1761155,.68202174,5,3,4,1,1
Ohio,OH,35,Hospitality,22,.15579,.041169003,.0092224181,9.0033131,2.5555153,.026819488,1.5350406,.11407857,5,3,3,1,1
